primaryTitle,runtimeMinutes,genres,isAdult,averageRating,numVotes,budget,domestic,world,year,oscar_nominated
midnight in paris,90.0,"Crime,Drama,Mystery",0,6.4,209.0,30000000.0,56816662.0,162051975.0,,0
kate and leopold,118.0,"Comedy,Fantasy,Romance",0,6.4,92892.0,48000000.0,47095453.0,70937778.0,,0
war dogs,64.0,"Action,Adventure,Drama",0,5.9,100.0,50000000.0,43034523.0,86434523.0,,0
batman,260.0,"Action,Crime,Family",0,6.0,2697.0,35000000.0,251188924.0,411348924.0,,0
the count of monte cristo,90.0,"Adventure,Drama,History",0,6.6,218.0,40000000.0,54228104.0,75389090.0,,0
destroyer,99.0,"Drama,Thriller,War",0,6.3,1393.0,9000000.0,1533324.0,5865489.0,,0
twilight,99.0,"Drama,Romance",0,7.1,111.0,37000000.0,194318433.0,403715958.0,,0
twilight,99.0,"Drama,Romance",0,7.1,111.0,20000000.0,15055091.0,15055091.0,,0
a guy named joe,120.0,"Drama,Fantasy,Romance",0,6.9,3187.0,2627000.0,5363000.0,5363000.0,,0
heaven can wait,112.0,"Comedy,Drama,Fantasy",0,7.3,13150.0,15000000.0,98800000.0,98800000.0,,0
les misérables,103.0,Drama,0,6.6,31.0,65000000.0,149260140.0,435292452.0,,0
the phantom,299.0,"Action,Adventure,Drama",0,6.9,509.0,45000000.0,17220599.0,17220599.0,,0
sahara,97.0,"Action,Drama,War",0,7.5,10714.0,145000000.0,68671925.0,121645390.0,,0
titanic,85.0,"Action,Drama,History",0,6.1,2008.0,200000000.0,674460013.0,2223048786.0,,0
la vita è bella,76.0,Comedy,0,6.9,142.0,20000000.0,57598247.0,229322441.0,,0
the abandoned,103.0,"Drama,Romance,War",0,7.3,200.0,850000.0,0.0,0.0,,0
bathing beauty,101.0,"Comedy,Musical",0,6.4,2055.0,2361000.0,3500000.0,3500000.0,,0
les misérables,120.0,Drama,0,5.8,32.0,65000000.0,149260140.0,435292452.0,,0
brazil,91.0,"Comedy,Musical,Romance",0,5.9,239.0,15000000.0,9929135.0,9934484.0,,0
the bridge of san luis rey,107.0,"Drama,Romance",0,5.5,234.0,24000000.0,49981.0,1696765.0,,0
the contender,63.0,"Drama,Sport",0,5.7,108.0,9000000.0,17804273.0,17804273.0,,0
destiny,65.0,"Crime,Drama,Fantasy",0,6.2,218.0,750000.0,0.0,450.0,,0
